MSOA01NAME,DrugCrimes,Total_Population,Employment_DS,Income_DS,LONG,LAT
Carmarthenshire 006,9,8261,0.127,0.169,-4.15441,51.9482
Carmarthenshire 007,13,5142,0.056,0.034,-4.36605,51.913
Carmarthenshire 008,57,6181,0.088,0.076,-4.30155,51.8702
Carmarthenshire 010,12,7407,0.195,0.198,-4.25756,51.844
Carmarthenshire 011,14,8105,0.088,0.102,-3.82682,51.8105
Carmarthenshire 012,8,7739,0.087,0.087,-4.0052,51.8157
Carmarthenshire 013,38,7586,0.224,0.203,-4.24647,51.7988
Carmarthenshire 015,13,8159,0.138,0.152,-3.96803,51.7835
Carmarthenshire 016,12,8989,0.128,0.13,-4.08264,51.7666
Carmarthenshire 017,9,5664,0.072,0.071,-4.14705,51.7856
Carmarthenshire 018,6,6064,0.135,0.135,-4.04444,51.7566
Carmarthenshire 019,3,7500,0.121,0.118,-4.2778,51.7313
Carmarthenshire 020,21,5651,0.108,0.116,-4.11235,51.7121
Carmarthenshire 021,18,8547,0.169,0.191,-4.13467,51.6988
Carmarthenshire 022,10,5457,0.116,0.103,-4.29496,51.7008
Carmarthenshire 023,51,6948,0.129,0.137,-4.15258,51.6892
Carmarthenshire 024,10,6761,0.15,0.15,-4.19123,51.696
Carmarthenshire 025,17,8713,0.091,0.1,-4.1413,51.6781
Carmarthenshire 026,65,9747,0.214,0.246,-4.10424,51.675
Swansea 001,5,6281,0.08,0.066,-4.15002,51.6683
Swansea 002,9,9353,0.167,0.194,-4.0225,51.7245
Swansea 003,20,9111,0.093,0.07,-3.93234,51.7305
Swansea 004,9,7907,0.069,0.059,-3.92335,51.6826
Swansea 005,12,9824,0.152,0.163,-3.98457,51.6821
Swansea 006,2,7392,0.065,0.058,-4.04934,51.6867
Swansea 007,9,9134,0.052,0.03,-3.87633,51.6762
Swansea 008,25,7817,0.21,0.242,-4.05907,51.6613
Swansea 009,10,8872,0.148,0.172,-3.92749,51.6617
Swansea 010,9,7041,0.115,0.101,-3.94366,51.6632
Swansea 011,39,8866,0.301,0.409,-3.89956,51.6629
Swansea 012,6,6778,0.079,0.099,-3.97508,51.6543
Swansea 013,25,8086,0.161,0.197,-4.04598,51.6438
Swansea 014,7,6857,0.156,0.248,-3.96763,51.6454
Swansea 015,17,7972,0.137,0.189,-3.90576,51.6407
Swansea 016,49,9241,0.355,0.401,-3.95522,51.6394
Swansea 017,11,6963,0.122,0.142,-3.9381,51.6403
Swansea 018,1,5218,0.076,0.083,-3.99233,51.638
Swansea 019,22,8696,0.307,0.397,-4.09915,51.6325
Swansea 020,1,5714,0.095,0.077,-3.96308,51.629
Swansea 021,19,7187,0.203,0.256,-4.03778,51.6138
Swansea 022,8,7955,0.057,0.063,-3.91208,51.6223
Swansea 023,2,5702,,,-3.99615,51.624
Swansea 024,22,9962,0.101,0.169,-4.01815,51.622
Swansea 025,220,9006,,,-3.96949,51.6215
Swansea 026,32,9507,0.136,0.167,-3.94262,51.6196
Swansea 027,5,6346,0.022,0.045,-3.96038,51.6157
Swansea 030,1,6384,0.058,0.05,-3.9922,51.61
Neath Port Talbot 002,3,5227,0.203,0.194,-4.17283,51.5934
Neath Port Talbot 003,5,5419,0.122,0.132,-3.73869,51.7445
Neath Port Talbot 004,17,11601,0.161,0.164,-3.64553,51.7406
Neath Port Talbot 005,3,6774,0.159,0.167,-3.85224,51.7367
Neath Port Talbot 006,0,6952,0.113,0.095,-3.71161,51.7015
Neath Port Talbot 007,2,5961,0.119,0.095,-3.80772,51.6897
Neath Port Talbot 008,40,6785,0.12,0.11,-3.83002,51.6732
Neath Port Talbot 009,1,5200,0.095,0.071,-3.79689,51.6612
Neath Port Talbot 010,17,9053,0.172,0.192,-3.75669,51.673
Neath Port Talbot 011,2,5283,0.377,0.438,-3.86188,51.6446
Neath Port Talbot 012,12,6493,0.27,0.287,-3.63124,51.6741
Neath Port Talbot 013,12,7951,0.213,0.235,-3.7984,51.6497
Neath Port Talbot 014,8,7690,0.1,0.091,-3.80604,51.639
Neath Port Talbot 015,5,6819,0.082,0.043,-3.72623,51.633
Bridgend 001,22,6995,0.28,0.302,-3.83144,51.6133
Bridgend 003,3,7954,0.231,0.281,-3.64198,51.6286
Bridgend 004,2,7784,0.155,0.162,-3.51969,51.6005
"Rhondda, Cynon, Taff 001",4,8947,0.169,0.171,-3.58415,51.5993
"Rhondda, Cynon, Taff 002",6,6279,0.134,0.12,-3.49139,51.7677
"Rhondda, Cynon, Taff 003",44,7728,0.232,0.248,-3.45188,51.7332
"Rhondda, Cynon, Taff 004",16,6202,0.155,0.145,-3.4861,51.706
"Rhondda, Cynon, Taff 005",21,9865,0.263,0.304,-3.41399,51.7178
"Rhondda, Cynon, Taff 006",24,7374,0.218,0.221,-3.44425,51.6879
"Rhondda, Cynon, Taff 007",18,5727,0.325,0.358,-3.37665,51.6927
"Rhondda, Cynon, Taff 008",7,5789,0.195,0.24,-3.54799,51.6848
"Rhondda, Cynon, Taff 009",10,5878,0.208,0.212,-3.37121,51.6693
"Rhondda, Cynon, Taff 010",6,7694,0.167,0.171,-3.49496,51.6831
"Rhondda, Cynon, Taff 011",3,5232,0.176,0.17,-3.51595,51.6628
"Rhondda, Cynon, Taff 012",8,6390,0.118,0.107,-3.50002,51.6432
"Rhondda, Cynon, Taff 013",12,6006,0.168,0.206,-3.33564,51.6462
"Rhondda, Cynon, Taff 014",17,9192,0.266,0.33,-3.43156,51.647
"Rhondda, Cynon, Taff 015",11,7523,0.304,0.389,-3.46644,51.6413
"Rhondda, Cynon, Taff 016",8,6549,0.258,0.338,-3.37695,51.6453
"Rhondda, Cynon, Taff 017",15,9156,0.136,0.175,-3.48312,51.6218
"Rhondda, Cynon, Taff 018",23,8503,0.246,0.307,-3.40374,51.6245
"Rhondda, Cynon, Taff 019",11,6609,0.151,0.17,-3.45365,51.6104
"Rhondda, Cynon, Taff 021",67,9983,0.132,0.162,-3.3205,51.6175
Merthyr Tydfil 002,11,9748,0.185,0.214,-3.35571,51.602
Merthyr Tydfil 003,5,8363,0.184,0.154,-3.35722,51.7711
Merthyr Tydfil 004,49,6574,0.278,0.325,-3.41117,51.7695
Merthyr Tydfil 005,2,8141,0.215,0.216,-3.3874,51.7476
Caerphilly 009,19,7319,0.22,0.271,-3.3222,51.7397
Caerphilly 010,11,6509,0.141,0.172,-3.18142,51.6695
Caerphilly 011,14,8552,0.066,0.047,-3.1452,51.6636
Caerphilly 012,10,7790,0.282,0.326,-3.18912,51.65
Caerphilly 013,51,9690,0.113,0.128,-3.22037,51.6356
Caerphilly 014,16,6998,0.164,0.186,-3.26955,51.6398
Caerphilly 015,6,5567,0.176,0.186,-3.12851,51.6412
Caerphilly 017,13,5229,0.141,0.142,-3.16431,51.6253
Caerphilly 019,24,9292,0.251,0.244,-3.09682,51.6226
Torfaen 003,15,7210,0.222,0.267,-3.24009,51.6077
Torfaen 005,9,5986,0.066,0.042,-3.04423,51.7148
