MSOA01NAME,DrugCrimes,Total_Population,Employment_DS,Income_DS,LONG,LAT
Oswestry 001,0,9722,0.109,0.08,-2.89687,52.8953
Oswestry 004,0,6992,0.044,0.05,-3.05276,52.9093
Oswestry 005,0,5308,0.082,0.097,-2.97025,52.7939
Shrewsbury and Atcham 001,0,9174,0.032,0.033,-3.07887,52.8255
South Shropshire 001,0,5872,,,-2.87655,52.7184
South Shropshire 004,0,6242,0.048,0.048,-2.99064,52.5662
Isle of Anglesey 001,4,8632,0.134,0.164,-3.04437,52.4249
Isle of Anglesey 002,2,6512,0.075,0.065,-4.44367,53.3567
Isle of Anglesey 003,99,10277,0.219,0.266,-4.32097,53.3439
Isle of Anglesey 004,17,7391,0.112,0.135,-4.63423,53.306
Isle of Anglesey 005,4,8803,0.115,0.137,-4.53861,53.3465
Isle of Anglesey 006,20,6650,0.115,0.113,-4.15486,53.2861
Isle of Anglesey 007,5,7206,0.137,0.137,-4.36988,53.2578
Isle of Anglesey 008,8,6483,0.073,0.079,-4.47414,53.2489
Isle of Anglesey 009,4,7797,0.105,0.13,-4.18135,53.23
Gwynedd 001,35,9810,0.049,0.087,-4.29692,53.1954
Gwynedd 002,22,7765,0.096,0.103,-4.12808,53.2285
Gwynedd 003,16,8351,0.12,0.113,-4.14248,53.217
Gwynedd 004,5,6590,0.067,0.067,-4.03013,53.1746
Gwynedd 005,3,6936,0.073,0.128,-4.20749,53.1547
Gwynedd 006,52,8083,0.213,0.238,-4.11005,53.1272
Gwynedd 007,10,6364,0.089,0.122,-4.25378,53.1472
Gwynedd 008,5,7671,0.111,0.155,-4.20096,53.0861
Gwynedd 009,7,6479,0.156,0.187,-4.25126,53.0531
Gwynedd 010,13,7037,0.092,0.109,-3.91013,52.9319
Gwynedd 011,7,6870,0.091,0.103,-4.12842,52.997
Gwynedd 012,19,7953,0.114,0.137,-4.33694,52.9488
Gwynedd 013,5,6168,0.087,0.086,-4.49923,52.907
Gwynedd 014,1,5922,,,-4.0574,52.8303
Gwynedd 015,4,5707,0.08,0.117,-4.60145,52.8504
Gwynedd 016,3,6654,0.121,0.142,-3.67176,52.8432
Gwynedd 017,8,7514,,,-3.86327,52.7745
Conwy 001,43,8850,0.178,0.189,-3.98381,52.646
Conwy 002,13,6968,0.199,0.233,-3.84639,53.3291
Conwy 003,0,6358,0.052,0.068,-3.8278,53.3158
Conwy 004,10,6118,0.104,0.129,-3.77644,53.3087
Conwy 005,20,8460,0.171,0.202,-3.75231,53.3102
Conwy 006,5,7815,0.072,0.096,-3.53372,53.2992
Conwy 007,54,6698,0.313,0.281,-3.81923,53.2956
Conwy 008,10,7830,0.073,0.066,-3.71551,53.2934
Conwy 009,6,8851,0.11,0.095,-3.72724,53.2842
Conwy 010,22,10577,,,-3.65031,53.2821
Conwy 011,5,6962,0.102,0.113,-3.56704,53.2764
Conwy 012,5,6072,0.064,0.062,-3.78084,53.2659
Conwy 013,3,7990,0.089,0.119,-3.88995,53.2142
